,date,long_change,long
4436,2021-02-25,-88943.93741024472,11980176.250877362
4437,2021-02-26,-83924.59460439533,11969381.894674031
4438,2021-02-27,-78902.35145078227,11983972.479239324
4439,2021-02-28,-73359.52739694901,11990643.671449583
4440,2021-03-01,-70226.95668553934,11996285.708866693
4441,2021-03-02,-67161.10542624258,11982748.657139461
4442,2021-03-03,-65046.06450276263,11992552.627397753
4443,2021-03-04,-63791.87224054709,11988159.791185353
4444,2021-03-05,-63351.70901619829,11974699.198667523
4445,2021-03-06,-62747.63876063749,11971591.844663963
4446,2021-03-07,-61956.13697393611,11971822.127335032
4447,2021-03-08,-61993.655687235296,11959892.082280742
4448,2021-03-09,-62609.41197653115,11954182.173919952
4449,2021-03-10,-63260.83371754736,11948602.769018892
4450,2021-03-11,-63828.041892943904,11931685.877397642
4451,2021-03-12,-64681.711532523856,11923351.114117416
4452,2021-03-13,-65332.37581105158,11930970.282516133
4453,2021-03-14,-66156.81584236957,11918281.526593046
4454,2021-03-15,-67687.89620231092,11915651.220256053
4455,2021-03-16,-70038.6618523784,11912489.434560893
4456,2021-03-17,-72746.04053378105,11902974.516017742
4457,2021-03-18,-75417.54169574939,11903710.188332472
4458,2021-03-19,-77995.13777616061,11903569.229555035
4459,2021-03-20,-80223.67566251382,11898813.889503893
4460,2021-03-21,-81936.36784672737,11898970.988252614
4461,2021-03-22,-83408.71197856404,11888102.752402833
4462,2021-03-23,-85160.77986854129,11875733.786766643
4463,2021-03-24,-86649.00817702897,11875809.651018206
4464,2021-03-25,-87497.17132748291,11857164.879987523
4465,2021-03-26,-87470.05995545536,11847356.870863453
4466,2021-03-27,-86746.9767953176,11841295.509356257
4467,2021-03-28,-86040.22184525244,11857178.221310394
4468,2021-03-29,-85882.39606801048,11856668.969013115
