time,perpetual,future,high.x,low.x,close.x,volume.x,volCcy,date.x,X.y,open.y,high.y,low.y,close.y,volume.y,currency_volume,price,date.y,basis,value
2020-09-15 01:00:00,10670,10679.3,10724,10653.5,10715.7,1308.56086223,13978456.48728625,2020-09-15 01:00:00,4988,10897.3,10953.7,10871.6,10941.1,8423,84.23,10922.133333333333,2020-09-15 01:00:00,0.08716026241798756,0.08716026241798756
2020-09-15 02:00:00,10669,10715.7,10836.6,10700,10758,1661.31373762,17896541.7317114,2020-09-15 02:00:00,4987,10941.7,11080,10932.7,10994.3,31968,319.68,11002.333333333334,2020-09-15 02:00:00,0.4377167494610622,0.4377167494610622
2020-09-15 03:00:00,10668,10758,10777.7,10738.3,10754.4,1529.79272323,16462295.77506427,2020-09-15 03:00:00,4986,10993.9,11010.6,10965.9,10980.3,5072,50.72,10985.6,2020-09-15 03:00:00,0.843644544431946,0.843644544431946
2020-09-15 04:00:00,10667,10754.4,10783.1,10710,10728.2,1755.8489419,18864788.09854295,2020-09-15 04:00:00,4985,10982.6,11015.9,10941.1,10959.8,16152,161.52,10972.266666666668,2020-09-15 04:00:00,0.8193493953313926,0.8193493953313926
2020-09-15 05:00:00,10666,10728.1,10762.2,10707.5,10740.5,1446.89967423,15534339.49055259,2020-09-15 05:00:00,4984,10958.7,10988.8,10936,10968,3863,38.63,10964.266666666668,2020-09-15 05:00:00,0.5822238889930654,0.5822238889930654
2020-09-15 06:00:00,10665,10740.4,10740.4,10701.5,10735,1151.47485129,12346457.54161263,2020-09-15 06:00:00,4983,10966.6,10971.2,10935.7,10962.6,4390,43.9,10956.5,2020-09-15 06:00:00,0.706985466479134,0.706985466479134
2020-09-15 07:00:00,10664,10735,10756.5,10708.9,10737,1090.51061352,11700066.65708428,2020-09-15 07:00:00,4982,10954.5,10985,10928.3,10966.2,6112,61.12,10959.833333333334,2020-09-15 07:00:00,0.6657914478619655,0.6657914478619655
2020-09-15 08:00:00,10663,10737,10758.7,10605,10643.2,1776.74112487,18998139.37071364,2020-09-15 08:00:00,4981,10967.1,10987.1,10823.1,10874.3,18482,184.82,10894.833333333334,2020-09-15 08:00:00,0.6939885585670074,0.6939885585670074
2020-09-15 09:00:00,10662,10643.2,10699.9,10623.5,10693,2273.25887343,24245758.76845408,2020-09-15 09:00:00,4980,10850,10922.6,10837.7,10919.5,20944,209.44,10893.266666666668,2020-09-15 09:00:00,-0.1763271431251104,-0.1763271431251104
2020-09-15 10:00:00,10661,10693.1,10870,10664,10848.6,2997.1691701,32138395.48910957,2020-09-15 10:00:00,4979,10920.4,11120.7,10885.5,11084.9,30935,309.35,11030.366666666667,2020-09-15 10:00:00,0.301097458024579,0.301097458024579
2020-09-15 11:00:00,10660,10848.6,10880,10772.9,10823,2597.30564153,28149888.55277162,2020-09-15 11:00:00,4978,11096.1,11122.5,11010.5,11068.1,18399,183.99,11067.033333333333,2020-09-15 11:00:00,1.7692307692307725,1.7692307692307725
2020-09-15 12:00:00,10659,10823,10930,10823,10909.5,2691.84906886,29296251.25112672,2020-09-15 12:00:00,4977,11072.1,11180,11072.1,11154.5,23487,234.87,11135.533333333333,2020-09-15 12:00:00,1.5386058729711982,1.5386058729711982
2020-09-15 13:00:00,10658,10909.5,10917.1,10835,10837.2,2288.76924787,24896723.93974114,2020-09-15 13:00:00,4976,11153.3,11161.9,11076.7,11078.1,17112,171.12,11105.566666666666,2020-09-15 13:00:00,2.359729780446613,2.359729780446613
2020-09-15 14:00:00,10657,10836.4,10879.2,10737,10766.1,1395.5671066,15091825.08880388,2020-09-15 14:00:00,4975,11078.8,11131.8,10978.7,11010.1,23400,234,11040.199999999999,2020-09-15 14:00:00,1.6834005817772322,1.6834005817772322
